id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
62,524165.84,5446966.51,3,Pinus_contorta,10,1284,22.3,5.35,23.2,0,2
63,524230.35,5446901.53,3,Pinus_contorta,24,1272,23.7,7.36,55.9,0,2
64,524233.2,5446901.37,3,Pinus_contorta,24,1272,23.7,7.36,57.1,0,2
65,524235.85,5446895.49,3,Pinus_contorta,24,1272,23.7,7.36,55.9,0,2
66,524229.98,5446894.86,3,Pinus_contorta,24,1272,23.7,7.36,52.7,0,2
67,524185.82,5446972.33,3,Pinus_contorta,25,1273,23.5,5.41,135.2,0,3
68,524304.67,5446885.28,3,Pinus_contorta,25,1247,19.3,6.04,59.8,0,4
69,524185.82,5446972.33,3,Pinus_contorta,25,1273,23.5,5.41,135.2,0,3
70,524297.63,5446893.14,3,Pinus_contorta,25,1241,21.1,4.67,58.2,0,4
71,524188.67,5446972.33,3,Pinus_contorta,25,1273,23.5,5.41,137.5,0,3
72,524182.01,5446972.33,3,Pinus_contorta,23,1284,22.3,5.35,47.6,0,3
73,524188.67,5446972.33,3,Pinus_contorta,23,1273,23.5,5.41,137.5,0,3
74,524188.67,5446972.33,3,Pinus_contorta,23,1273,23.5,5.41,137.5,0,3
75,524286.49,5446889.8,3,Pinus_contorta,23,1241,21.1,4.67,29.5,0,2
76,524293.16,5446889.8,3,Pinus_contorta,15,1241,21.1,4.67,31.0,0,2
77,524296.02,5446889.65,3,Pinus_contorta,15,1241,21.1,4.67,57.0,0,4
78,524297.45,5446889.17,3,Pinus_contorta,15,1241,21.1,4.67,57.4,0,4
79,524291.57,5446888.53,3,Pinus_contorta,15,1241,21.1,4.67,30.6,0,2
80,524296.97,5446885.99,3,Pinus_contorta,14,1247,19.3,6.04,57.0,0,4
81,524293.16,5446889.8,3,Pinus_contorta,14,1241,21.1,4.67,31.0,0,2
82,524291.57,5446888.53,3,Pinus_contorta,14,1241,21.1,4.67,30.6,0,2
83,524293.16,5446889.8,3,Pinus_contorta,14,1241,21.1,4.67,31.0,0,2
84,524274.66,5446891.15,3,Pinus_contorta,14,1250,21.0,5.84,27.2,0,2
85,524268.79,5446890.52,3,Pinus_contorta,14,1250,21.0,5.84,25.9,0,2
86,524268.79,5446890.52,3,Pinus_contorta,19,1250,21.0,5.84,25.9,0,2
87,524270.38,5446891.79,3,Pinus_contorta,19,1250,21.0,5.84,26.3,0,2
88,524262.81,5446887.26,3,Pinus_contorta,19,1260,22.3,5.22,24.3,0,2
89,524262.81,5446887.26,3,Pinus_contorta,19,1260,22.3,5.22,24.3,0,2
90,524265.09,5446888.14,3,Pinus_contorta,19,1260,22.3,5.22,25.0,0,2
91,524261.01,5446884.83,3,Pinus_contorta,19,1265,22.6,6.21,23.8,0,2
92,524272.71,5446886.87,3,Pinus_contorta,8,1250,21.0,5.84,26.3,0,2
93,524266.83,5446886.23,3,Pinus_contorta,8,1250,21.0,5.84,25.2,0,2
94,524261.28,5446891.95,3,Pinus_contorta,8,1260,22.3,5.22,24.5,0,2
95,524261.01,5446884.83,3,Pinus_contorta,8,1265,22.6,6.21,23.8,0,2
96,524256.88,5446891.37,3,Pinus_contorta,8,1260,22.3,5.22,23.6,0,2
97,524251.01,5446890.73,3,Pinus_contorta,8,1260,22.3,5.22,22.3,0,2
98,524252.6,5446892.0,3,Pinus_contorta,16,1260,22.3,5.22,22.7,0,2
99,524255.46,5446891.84,3,Pinus_contorta,10,1260,22.3,5.22,23.4,0,2
100,524245.03,5446887.48,3,Pinus_contorta,9,1260,22.3,5.22,20.9,0,2
101,524245.03,5446887.48,3,Pinus_contorta,12,1260,22.3,5.22,20.9,0,2
102,524242.73,5446887.48,3,Pinus_contorta,26,1272,23.7,7.36,20.5,0,2
103,524241.86,5446890.65,3,Pinus_contorta,11,1272,23.7,7.36,57.1,0,2
104,524258.58,5446886.29,3,Pinus_contorta,15,1260,22.3,5.22,23.4,0,2
105,524247.31,5446888.35,3,Pinus_contorta,11,1260,22.3,5.22,21.4,0,2
106,524243.23,5446885.04,3,Pinus_contorta,10,1276,25.8,5.51,20.2,0,2
107,524254.93,5446887.08,3,Pinus_contorta,18,1260,22.3,5.22,22.7,0,2
108,524249.05,5446886.44,3,Pinus_contorta,17,1260,22.3,5.22,21.6,0,2
109,524237.83,5446891.79,3,Pinus_contorta,21,1272,23.7,7.36,55.9,0,2
110,524231.96,5446891.15,3,Pinus_contorta,26,1272,23.7,7.36,52.1,0,2
