"qx","qy","x","y","stems","ba_ha","h_mean","h_max","h_p95","h_sd","cover"
180,160,747761.749396452,4309007.47071688,17,59.6810516247402,19.4726315789474,38.91,37.454,14.3857795271974,0.739348370927318
200,160,747781.772331074,4309008.09837849,21,56.4997570939907,17.2077805486284,38.75,37.14,14.9488045278451,0.658354114713217
220,160,747801.795265696,4309008.7260401,15,58.7998348854083,23.150325,39.57,38.4645,14.7224127008351,0.7525
240,160,747821.818200318,4309009.35370171,18,60.1413342183993,24.9574937343358,38.74,37.476,13.6924063147343,0.799498746867168
260,160,747841.841134941,4309009.98136333,6,18.6151342047187,24.518325,39.87,38.13,13.9965976511757,0.785
280,160,747861.864069563,4309010.60902494,8,30.9442753038237,19.3164912280702,36.59,35.272,14.9332908663763,0.659147869674185
300,160,747881.887004185,4309011.23668655,15,66.6768286855703,20.8945614035088,34.81,33.56,13.0351213723376,0.764411027568922
320,160,747901.909938808,4309011.86434816,11,42.0747024560433,11.905125,37.51,33.08,13.4621517153236,0.5025
340,160,747921.93287343,4309012.49200978,16,60.1903234288412,25.739649122807,39.78,38.633,13.8985582520136,0.799498746867168
360,160,747941.955808053,4309013.11967139,9,42.5610013638649,22.332575,36.11,33.1805,12.7677846132051,0.7725
380,160,747961.978742675,4309013.747333,5,18.4445653585829,25.8803768844221,37.6,35.1675,11.1664427837151,0.864321608040201
0,180,747580.918039423,4309021.76381058,10,10.3197195330067,23.5611278195489,33.07,32.092,9.33339516509088,0.889724310776942
20,180,747600.940974046,4309022.39147219,13,25.2971839691797,26.0044862155388,32.87,31.722,8.37006154850814,0.924812030075188
40,180,747620.963908668,4309023.0191338,11,26.6169081380905,21.998225,33.67,31.05,9.88644947934515,0.86
60,180,747640.98684329,4309023.64679542,14,31.0318668339966,21.1073934837093,29.21,28.56,8.19655796879009,0.902255639097744
80,180,747661.009777912,4309024.27445703,12,33.2583724524579,18.0996240601504,27.37,26.192,8.67825108061026,0.857142857142857
100,180,747681.032712535,4309024.90211864,12,19.6377226134622,17.0486,28.31,26.7805,8.78523605096516,0.855
120,180,747701.055647157,4309025.52978025,14,28.7516399811588,14.8632663316583,30.11,28.6065,11.093582817666,0.703517587939699
140,180,747721.07858178,4309026.15744187,16,38.7826078793925,24.021625,36.08,35.581,11.7127300927212,0.8475
160,180,747741.101516402,4309026.78510348,16,41.7929212299704,27.2113567839196,40.3,39.0235,13.3684781380039,0.829145728643216
180,180,747761.124451024,4309027.41276509,12,22.2837486609023,15.5673618090452,39.77,37.4535,13.3494694967094,0.71105527638191
200,180,747781.147385647,4309028.0404267,17,47.2409337651472,16.1711,37.31,33.1,13.2162193316984,0.7325
220,180,747801.170320269,4309028.66808832,10,16.3553866089916,14.2132080200501,39.03,35.465,13.8696971933605,0.68922305764411
